"id","slug","title","subTitle","tags","status","best_teams","names_combined"
"13836",cassava-leaf-disease-classification,Cassava Leaf Disease Classification,Identify the type of disease present on a Cassava Leaf image,"plants, image, multiclass classification",completed,"1738095,83267,3848814,3474172,1302247","Wei Hao Khoong, Ning Zhang, PAB97, Hongnan G, Radek Osmulski"
"18011",halite,Halite by Two Sigma,Collect the most halite during your match in space,"video games, simulations",completed,"5637976,117251,72177,761268,5264912","SeshuRajuP 🧘‍♂️, Arun P R, Ant 🐜, Ilya Nekhay, Mau Rua"
"18045",liverpool-ion-switching,University of Liverpool - Ion Switching,Identify the number of channels open at each time point,biology,completed,"1790018,1120704,1014468,1270655,172860","Gary, Yassine Alouini, Heads or Tails, Bo, Sanyam Bhutani"
"18191",cl-cv2020,Classify This Movie,Genre Prediction of Movies based on their Poster,No_Tags,completed,"1424766,75976,37166,644036,54836","Giba, Psi, CPMP, Rob Mulla, Dieter"
"18237",imaterialist-fashion-2020-fgvc7,iMaterialist (Fashion) 2020 at FGVC7,Fine-grained segmentation task for fashion and apparel,No_Tags,completed,"1069377,1134767,853978,8899439,3843588","Light, Ethan, Rib~, hyd, Oleg Polosin"
"18325",wine-quality-dataset,Wine Quality Dataset,Predict the quality of wine,No_Tags,completed,"2852238,2062758,1348567,3612572,1498852","Theo Viel, Ulrich G., Amed, kkiller, Loulou"
"18588",ciproject,Computational Intelligence Project,Upload your results for the second phase of the project.,No_Tags,completed,"795565,909432,1368780,1035002,48625","Shai, cooleel, ryches, Ted K, mlandry"
"18605",competicao-curso-verao-inpe-2020,Competição curso de verão,Mini competição do curso de verão do INPE 2020,No_Tags,completed,"331718,1723677,4804850,1478649,1562115","Chris Deotte, Alvor, Isamu, Matt Motoki, Remek Kinas"
"18894",utiva-bigdata-python-cohort1,Utiva Python BigData Employee Attrition Prediction,Predicting which employees are prone to leave next using information from existing employees and those that had left,No_Tags,completed,"6259210,5998972,11570669,18463,4760409","Mathurin Aché, Yue Sun, Gaurav Dutta, Sergey Saharovskiy, Muhammad Faisal Ali"
"18905",utkml,Recommender Systems,Lets Compete to Predict a User's Favorite Joke!,No_Tags,completed,"54836,1565399,75976,2596066,698363","Giba, CPMP, MPWARE, Tom, Ioannis M"
"18685",hashcode-photo-slideshow,Hash Code Archive - Photo Slideshow Optimization,Optimizing a photo album from Hash Code 2019,"internet, optimization",completed,"2658609,18463,4712534,6674022,5309","Mathurin Aché, Abhishek Thakur, Nischay Dhankhar, aDg4b, CroDoc"
"18647",prostate-cancer-grade-assessment,Prostate cANcer graDe Assessment (PANDA) Challenge,Prostate cancer diagnosis using the Gleason grading system,"medicine, image",completed,"448347,2852238,623370,3133516,1860617","Takoi, Qishen Ha, Amed, Dewei Chen, charmq"
"18945",machinelearningadvanced,MachineLearningAdvanced,Examen de Machine Learning en el curso especializado de Machine Learning Advanced.,No_Tags,completed,"4877942,7375075,4163969,6825664,782553","JINO ROHIT, Eugene Pasechnikov, Arjun Prasad Sarkhel, DenisTitlov, Arijit Sau"
"19010",itmo-spelling-correction-contest-spring-2020,ITMO Spelling Correction Contest Spring 2020,Fix single words from search queries in russian,No_Tags,completed,"1424766,2852238,54836,3843588,1279632","Giba, Dieter, Amed, taksai, Rib~"
